NumberofTiles      7
NumberofUnits      3
NumberofBuildings  1
NumberofObstacles  6
NumberofEntities   6

Unit0Specifications ../Game_Data/Units/Slime/specifications.txt
Unit1Specifications ../Game_Data/Units/BoneMage/specifications.txt
Unit2Specifications ../Game_Data/Units/Druffkloppa/specifications.txt

Building0specifications ../Game_Data/Buildings/MainBuilding/specifications.txt

Entity0Specifications ../Game_Data/Entities/Entity0/specifications.txt
Entity1Specifications ../Game_Data/Entities/Entity1/specifications.txt
Entity2Specifications ../Game_Data/Entities/Entity2/specifications.txt
Entity3Specifications ../Game_Data/Entities/Entity3/specifications.txt
Entity4Specifications ../Game_Data/Entities/Entity4/specifications.txt
Entity5Specifications ../Game_Data/Entities/Entity5/specifications.txt
